,query_image_index,query_image_type,query_image_type_index,query_image_path,query_total_keypoints,query_image_width,query_image_height,train_image_index,train_image_type,train_image_type_index,train_image_path,train_total_keypoints,train_image_width,train_image_height,matching_method,total_matches,total_good_matches,with_resize
0,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1215,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1089,562,374,ORB,540,515,True
1,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1281,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1138,562,374,SIFT,1281,468,True
2,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1215,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1764,719,478,ORB,348,317,False
3,100,selfies,0,./results/cropped/e-ktp\100_selfie_crop_0.jpeg,1281,599,374,100,cards,0,./results/cropped/e-ktp\100_card_crop_0.jpeg,1897,719,478,SIFT,1281,409,False
4,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1950,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,2823,1562,982,ORB,793,764,True
5,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1861,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,22688,1562,982,SIFT,1861,403,True
6,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1950,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,2917,2741,1723,ORB,690,636,False
7,101,selfies,0,./results/cropped/e-ktp\101_selfie_crop_0.jpg,1861,1521,982,101,cards,0,./results/cropped/e-ktp\101_card_crop_0.jpg,42602,2741,1723,SIFT,1861,399,False
8,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,2780,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,2823,1413,916,ORB,822,759,True
9,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,3581,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,13246,1413,916,SIFT,3581,511,True
10,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,2780,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,2875,2129,1380,ORB,709,601,False
11,102,selfies,0,./results/cropped/e-ktp\102_selfie_crop_0.jpg,3581,1461,916,102,cards,0,./results/cropped/e-ktp\102_card_crop_0.jpg,32888,2129,1380,SIFT,3581,512,False
12,103,selfies,0,./results/cropped/e-ktp\103_selfie_crop_0.jpeg,1568,688,457,103,cards,0,./results/cropped/e-ktp\103_card_crop_0.jpeg,2246,709,457,ORB,980,966,True
13,103,selfies,0,./results/cropped/e-ktp\103_selfie_crop_0.jpeg,1356,688,457,103,cards,0,./results/cropped/e-ktp\103_card_crop_0.jpeg,2093,709,457,SIFT,1356,483,True
